method,coefficient_a,exponent_b,n_fit_points,min_fit_L,max_fit_L
mpo_kpm,0.2581222527174681,0.07316413351082889,35,6,40
sparse_kpm,2.6490222537769815e-7,1.0541599991390318,20,6,25
exact_diag,9.502707749373142e-9,2.25219508760085,10,6,15
