0.0,63.0
0.125,64.0
0.25,63.0
0.375,63.0
0.5,64.0
0.625,65.0
0.75,65.0
0.875,66.0
1.0,67.0
1.125,67.0
1.25,67.0
1.375,67.0
1.5,68.0
1.625,68.0
1.75,70.0
1.875,71.0
2.0,72.0
2.125,72.0
2.25,73.0
2.375,74.0
2.5,75.0
2.625,76.0
2.75,76.0
2.875,77.0
3.0,78.0
3.125,78.0
3.25,79.0
3.375,79.0
3.5,80.0
3.625,80.0
3.75,81.0
3.875,81.0
4.0,81.0
4.125,82.0
4.25,82.0
4.375,82.0
4.5,82.0
4.625,82.0
4.75,83.0
4.875,83.0
5.0,83.0
5.125,83.0
5.25,83.0
5.375,83.0
5.5,83.0
5.625,83.0
5.75,84.0
5.875,84.0
6.0,84.0
6.125,84.0
6.25,85.0
6.375,85.0
6.5,85.0
6.625,85.0
6.75,86.0
6.875,86.0
7.0,86.0
7.125,86.0
7.25,86.0
7.375,86.0
7.5,86.0
7.625,86.0
7.75,86.0
7.875,86.0
8.0,86.0
8.125,86.0
8.25,86.0
8.375,87.0
8.5,87.0
8.625,87.0
8.75,87.0
8.875,87.0
9.0,87.0
9.125,87.0
9.25,87.0
9.375,87.0
9.5,87.0
9.625,87.0
9.75,87.0
9.875,87.0
10.0,87.0
10.125,87.0
10.25,87.0
10.375,87.0
10.5,87.0
10.625,87.0
10.75,87.0
10.875,87.0
11.0,87.0
11.125,87.0
11.25,87.0
11.375,87.0
11.5,87.0
11.625,87.0
11.75,87.0
11.875,87.0
12.0,87.0
12.125,87.0
12.25,87.0
12.375,87.0
12.5,87.0
12.625,87.0
12.75,87.0
12.875,87.0
13.0,87.0
13.125,87.0
13.25,87.0
13.375,87.0
13.5,87.0
13.625,87.0
13.75,87.0
13.875,87.0
14.0,87.0
14.125,87.0
14.25,87.0
14.375,87.0
14.5,87.0
14.625,87.0
14.75,87.0
14.875,87.0
15.0,87.0
