4097,4096
12289,12288
20481,20480
28673,28672
36865,36864
45057,45056
53249,53248
61441,61440
69633,69632
77825,77824
86017,86016
94209,94208
102401,102400
110593,110592
118785,118784
126977,126976
135169,135168
143361,143360
151553,151552
159745,159744
167937,167936
176129,176128
184321,184320
192513,192512
200705,200704
208897,208896
217089,217088
225281,225280
233473,233472
241665,241664
249857,249856
258049,258048
266241,266240
274433,274432
282625,282624
290817,290816
299009,299008
307201,307200
315393,315392
323585,323584
331777,331776
339969,339968
348161,348160
356353,356352
364545,364544
372737,372736
380929,380928
389121,389120
397313,397312
405505,405504
413697,413696
421889,421888
430081,430080
438273,438272
446465,446464
454657,454656
462849,462848
471041,471040
479233,479232
487425,487424
495617,495616
503809,503808
512001,512000
520193,520192
528385,528384
536577,536576
544769,544768
552961,552960
561153,561152
569345,569344
577537,577536
585729,585728
593921,593920
602113,602112
610305,610304
618497,618496
626689,626688
634881,634880
643073,643072
651265,651264
659457,659456
667649,667648
675841,675840
684033,684032
692225,692224
700417,700416
708609,708608
716801,716800
724993,724992
733185,733184
741377,741376
749569,749568
757761,757760
765953,765952
774145,774144
782337,782336
790529,790528
798721,798720
806913,806912
815105,815104
823297,823296
831489,831488
839681,839680
847873,847872
856065,856064
864257,864256
872449,872448
880641,880640
888833,888832
897025,897024
905217,905216
913409,913408
921601,921600
929793,929792
937985,937984
946177,946176
954369,954368
962561,962560
970753,970752
978945,978944
987137,987136
995329,995328
1003521,1003520
1011713,1011712
1019905,1019904
1028097,1028096
1036289,1036288
1044481,1044480
