1,0
8193,8192
16385,16384
24577,24576
32769,32768
40961,40960
49153,49152
57345,57344
65537,65536
73729,73728
81921,81920
90113,90112
98305,98304
106497,106496
114689,114688
122881,122880
131073,131072
139265,139264
147457,147456
155649,155648
163841,163840
172033,172032
180225,180224
188417,188416
196609,196608
204801,204800
212993,212992
221185,221184
229377,229376
237569,237568
245761,245760
253953,253952
262145,262144
270337,270336
278529,278528
286721,286720
294913,294912
303105,303104
311297,311296
319489,319488
327681,327680
335873,335872
344065,344064
352257,352256
360449,360448
368641,368640
376833,376832
385025,385024
393217,393216
401409,401408
409601,409600
417793,417792
425985,425984
434177,434176
442369,442368
450561,450560
458753,458752
466945,466944
475137,475136
483329,483328
491521,491520
499713,499712
507905,507904
516097,516096
524289,524288
532481,532480
540673,540672
548865,548864
557057,557056
565249,565248
573441,573440
581633,581632
589825,589824
598017,598016
606209,606208
614401,614400
622593,622592
630785,630784
638977,638976
647169,647168
655361,655360
663553,663552
671745,671744
679937,679936
688129,688128
696321,696320
704513,704512
712705,712704
720897,720896
729089,729088
737281,737280
745473,745472
753665,753664
761857,761856
770049,770048
778241,778240
786433,786432
794625,794624
802817,802816
811009,811008
819201,819200
827393,827392
835585,835584
843777,843776
851969,851968
860161,860160
868353,868352
876545,876544
884737,884736
892929,892928
901121,901120
909313,909312
917505,917504
925697,925696
933889,933888
942081,942080
950273,950272
958465,958464
966657,966656
974849,974848
983041,983040
991233,991232
999425,999424
1007617,1007616
1015809,1015808
1024001,1024000
1032193,1032192
1040385,1040384
