method,coefficient_a,exponent_b,n_fit_points,min_fit_L,max_fit_L
mpo_kpm,8411.318467119947,0.07276919403981728,35,6,40
sparse_kpm,55.90111943108012,1.0000867984733353,35,6,40
exact_diag,8.032804803871244,1.9997990283143132,35,6,40
