1.0,13.0,-2.25,-0.24310344827586206,-202045.56163866015
1.0,29.0,-2.25,0.032758620689655175,-170023.92926300145
2.0,15.0,-2.0948275862068964,-0.20862068965517241,-2.4382064436407485e6
3.0,1.0,-1.9396551724137931,-0.45,-1.4957899134599157e6
3.0,17.0,-1.9396551724137931,-0.17413793103448275,1.3923906345429642e7
4.0,3.0,-1.7844827586206897,-0.41551724137931034,2.2326789974720026e6
4.0,19.0,-1.7844827586206897,-0.1396551724137931,8.91895111562282e6
5.0,5.0,-1.6293103448275863,-0.3810344827586207,6.546451870662869e6
5.0,21.0,-1.6293103448275863,-0.10517241379310345,8.163630503887174e6
6.0,7.0,-1.4741379310344827,-0.34655172413793106,7.454492707694691e6
6.0,23.0,-1.4741379310344827,-0.0706896551724138,7.492562045096539e6
7.0,9.0,-1.3189655172413792,-0.3120689655172414,6.484807558968482e6
7.0,25.0,-1.3189655172413792,-0.03620689655172414,6.499188815184381e6
8.0,11.0,-1.1637931034482758,-0.2775862068965517,6.292811653624224e6
8.0,27.0,-1.1637931034482758,-0.0017241379310344827,3.425142532035123e6
9.0,13.0,-1.0086206896551724,-0.24310344827586206,1.2582386674496561e7
9.0,29.0,-1.0086206896551724,0.032758620689655175,1.2203506080916119e6
10.0,15.0,-0.853448275862069,-0.20862068965517241,-40613.10253521653
11.0,1.0,-0.6982758620689655,-0.45,116512.71543126523
11.0,17.0,-0.6982758620689655,-0.17413793103448275,-71232.63809423197
12.0,3.0,-0.5431034482758621,-0.41551724137931034,-47255.507473197424
12.0,19.0,-0.5431034482758621,-0.1396551724137931,889111.0306987987
13.0,5.0,-0.3879310344827586,-0.3810344827586207,5.132334824294991e6
13.0,21.0,-0.3879310344827586,-0.10517241379310345,6.17779452909469e6
14.0,7.0,-0.23275862068965517,-0.34655172413793106,5.701651626621192e6
14.0,23.0,-0.23275862068965517,-0.0706896551724138,5.4388564901862135e6
15.0,9.0,-0.07758620689655173,-0.3120689655172414,5.2570332564651705e6
15.0,25.0,-0.07758620689655173,-0.03620689655172414,5.248126447295934e6
16.0,11.0,0.07758620689655173,-0.2775862068965517,4.9478212560787e6
16.0,27.0,0.07758620689655173,-0.0017241379310344827,2.7188568829758866e6
17.0,13.0,0.23275862068965517,-0.24310344827586206,5.156340153397201e6
17.0,29.0,0.23275862068965517,0.032758620689655175,98882.02391389039
18.0,15.0,0.3879310344827586,-0.20862068965517241,5.986052379131512e6
19.0,1.0,0.5431034482758621,-0.45,-501035.6735416131
19.0,17.0,0.5431034482758621,-0.17413793103448275,791679.7121745278
20.0,3.0,0.6982758620689655,-0.41551724137931034,-41449.67806413791
20.0,19.0,0.6982758620689655,-0.1396551724137931,-70914.48498746777
21.0,5.0,0.853448275862069,-0.3810344827586207,-38659.48779474713
21.0,21.0,0.853448275862069,-0.10517241379310345,-75331.494665142
22.0,7.0,1.0086206896551724,-0.34655172413793106,1.3003067278793968e7
22.0,23.0,1.0086206896551724,-0.0706896551724138,1.2810570517815815e7
23.0,9.0,1.1637931034482758,-0.3120689655172414,6.745066476895012e6
23.0,25.0,1.1637931034482758,-0.03620689655172414,6.718594318246219e6
24.0,11.0,1.3189655172413792,-0.2775862068965517,6.115954040733534e6
24.0,27.0,1.3189655172413792,-0.0017241379310344827,3.3552658286964865e6
25.0,13.0,1.4741379310344827,-0.24310344827586206,6.978178599098318e6
25.0,29.0,1.4741379310344827,0.032758620689655175,318920.08979715285
26.0,15.0,1.6293103448275863,-0.20862068965517241,7.735444853380535e6
27.0,1.0,1.7844827586206897,-0.45,-753058.0937776543
27.0,17.0,1.7844827586206897,-0.17413793103448275,9.080349086837426e6
28.0,3.0,1.9396551724137931,-0.41551724137931034,2.7350245196235096e6
28.0,19.0,1.9396551724137931,-0.1396551724137931,1.3772905418609774e7
29.0,5.0,2.0948275862068964,-0.3810344827586207,-1.0176583183183656e6
29.0,21.0,2.0948275862068964,-0.10517241379310345,-2.515390753864554e6
30.0,7.0,2.25,-0.34655172413793106,-265092.2984082064
30.0,23.0,2.25,-0.0706896551724138,-226945.37343805327
